player_id,gsis_id,name,position,pro_team
4429435,00-0040398,Brady Cook,,
4429501,00-0039875,Ray Davis,,
4429615,00-0039064,Zay Flowers,,
4429676,00-0037120,Tyler Goodson,,
4429684,00-0039816,Anthony Gould,,
4429795,00-0039139,Jahmyr Gibbs,,
4429805,00-0039471,Frank Gore Jr.,,
4429835,00-0039299,George Holani,,
4429939,00-0039405,Jawhar Jordan,,
4429955,00-0040203,Will Howard,,
4430027,00-0039065,Sam LaPorta,,
4430034,00-0039342,Xavier Legette,,
4430191,00-0038090,Skyy Moore,,
4430539,00-0038935,Brenton Strange,,
4430637,00-0039907,Ja'Lynn Polk,,
4430656,00-0040506,Myles Price,,
4430723,00-0039824,Jared Wiley,,
4430737,00-0037840,Kyren Williams,,
4430802,00-0038558,Darnell Washington,,
4430807,00-0038542,Bijan Robinson,,
4430834,00-0039855,Jalen McMillan,,
4430841,00-0041561,Carson Beck,,
4430870,00-0040184,KeAndre Lambert-Smith,,
4430871,00-0038951,Sean Tucker,,
4430878,00-0038543,Jaxon Smith-Njigba,,
4430968,00-0039391,Kimani Vidal,,
4431268,00-0040705,Chimere Dike,,
4431280,00-0039868,Troy Franklin,,
4431299,00-0039919,Rome Odunze,,
4431325,00-0041092,Taylen Green,,
4431452,00-0039851,Drake Maye,,
4431459,00-0040128,Tyler Warren,,
4431466,00-0040172,Jordan Watkins,,
4431487,00-0040009,Savion Williams,,
4431492,00-0039739,Roman Wilson,,
4431545,00-0039746,Will Shipley,,
4431562,00-0040021,Phil Mafah,,
4431574,00-0041483,Eli Stowers,,
4431588,00-0039356,Ja'Tavion Sanders,,
4431611,00-0039918,Caleb Williams,,
4432260,00-0040879,Matthew Hibner,,
4432577,00-0039163,C.J. Stroud,,
4432620,00-0038606,Parker Washington,,
4432665,00-0039338,Brock Bowers,,
4432708,00-0039849,Marvin Harrison Jr.,,
4432710,00-0040734,TreVeyon Henderson,,
4432734,00-0040673,Jalen Milroe,,
4432762,00-0040668,Shedeur Sanders,,
4432773,00-0039893,Brian Thomas Jr.,,
4432775,00-0040581,Dont'e Thornton Jr.,,
4433970,00-0039923,J.J. McCarthy,,
4434153,00-0038416,Tyson Bagent,,
4565185,00-0040154,Tai Felton,,
4565859,00-0041087,Joe Royer,,
4566158,00-0040530,Ben Sauls,,
4566192,00-0039750,Joshua Karty,,
4567048,00-0038134,Kenneth Walker III,,
4567096,00-0037614,John Metchie III,,
4567104,00-0039404,Will Reichard,,
4567156,00-0037742,Treylon Burks,,
4567747,00-0040906,Garrett Nussmeier,,
4567750,00-0040129,Emeka Egbuka,,
4568024,00-0040429,Josh Williams,,
4568263,00-0040279,Ryan Fitzgerald,,
4568490,00-0040730,RJ Harvey,,
4569173,00-0036875,Rhamondre Stevenson,,
4569371,00-0039451,Isaiah Williams,,
4569382,00-0039751,Jordan Whittington,,
4569559,00-0039424,Devaughn Vele,,
4569587,00-0038117,Wan'Dale Robinson,,
4569603,00-0039880,Malik Washington,,
4569618,00-0037740,Garrett Wilson,,
4569682,00-0039373,Audric Estime,,
4569923,00-0040200,Andy Borregales,,
4569987,00-0037228,Jaylen Warren,,
4570037,00-0040737,Terrance Ferguson,,
4570561,00-0038396,Eric Gray,,
4570738,00-0040534,Ke'Shawn Williams,,
4571557,00-0039576,Spencer Shrader,,
4572680,00-0038996,Tucker Kraft,,
4573398,00-0040494,Max Brosmer,,
4573697,00-0039623,Mason Tipton,,
4573699,00-0040194,Jackson Hawes,,
4574716,00-0039498,Harrison Mevis,,
4575131,00-0040242,Jacory Croskey-Merritt,,
4575665,00-0039365,Jacob Cowing,,
4576297,00-0039793,AJ Barner,,
4586312,00-0040138,Jaylin Noel,,
4594749,00-0040939,Michael Trigg,,
4595342,00-0040189,Oronde Gadsden,,
4595348,00-0039337,Malik Nabers,,
4596334,00-0038454,Keaton Mitchell,,
4596448,00-0039361,Bucky Irving,,
4596545,00-0040566,CJ Dippre,,
